0,1,2,3,4,5,6,7
-0.41123235,-0.3446862,-0.24042736,-0.24083613,-0.24031585,-0.2387084,-0.23875774,-0.03712815
-0.35004997,-0.13206562,-0.23426612,-0.20703454,-0.2070526,-0.20519881,-0.20470493,-0.2093068
-0.31668544,-0.08576463,-0.23750691,-0.21002531,-0.21148548,-0.20879519,-0.20855469,-0.21425587
-0.25154388,-0.5183872,-0.23584427,-0.21368608,-0.21437314,-0.21370526,-0.21224673,-0.2205244
-0.25354868,-0.69296503,-0.2340528,-0.21379153,-0.21397814,-0.21482281,-0.21406612,-0.21815027
-0.32172543,-0.30997637,-0.23451303,-0.2149981,-0.21485291,-0.21446736,-0.21590932,-0.22011957
-0.34529984,0.047323883,-0.2420933,-0.20685801,-0.2062792,-0.20693025,-0.20830652,-0.21142597
-0.35336888,-0.2489741,-0.23837413,-0.2087697,-0.20945042,-0.20990834,-0.21074788,-0.20615984
-0.31578273,-0.5324901,-0.25494424,-0.20621368,-0.20610422,-0.20685194,-0.2064456,-0.20236994
-0.2695213,-0.47120228,-0.24641465,-0.20451006,-0.20334531,-0.2035011,-0.20368281,-0.19939472
-0.25704473,-0.14866322,-0.24533686,-0.20292315,-0.20249513,-0.20311521,-0.2020516,-0.20038669
-0.23154175,-0.2780661,-0.23863484,-0.19989103,-0.1997725,-0.19845217,-0.19887197,-0.20010847
-0.23239797,-0.46280164,-0.23553894,-0.20938483,-0.20970845,-0.20890887,-0.2087518,-0.20884058
-0.23233676,-0.26582524,-0.2342733,-0.21059787,-0.21081582,-0.21129179,-0.20983267,-0.20968816
-0.23203745,-0.22762415,-0.23409073,-0.20922446,-0.20958158,-0.20946172,-0.20958404,-0.21296817
-0.23111,-0.4650869,-0.23409058,-0.22275658,-0.22268894,-0.22192055,-0.22248432,-0.22864406
-0.22920111,-0.46153855,-0.2342921,-0.21771018,-0.21722448,-0.21732765,-0.21781525,-0.2202917
-0.22904643,-0.38691998,-0.23404603,-0.19618845,-0.19642027,-0.19448078,-0.1962329,-0.20588753
-0.22850956,-0.17568876,-0.2340427,-0.21002926,-0.21042034,-0.20900404,-0.21040756,-0.20919445
-0.23600015,-0.15444447,-0.23374812,-0.19879246,-0.19821599,-0.19800451,-0.19881149,-0.19849074
-0.22966643,-0.2782155,-0.23389122,-0.18782221,-0.1858922,-0.18451664,-0.18556285,-0.19705023
-0.22934392,-0.4271614,-0.2340157,-0.20337662,-0.20374632,-0.20199719,-0.20367482,-0.20845301
-0.23358867,-0.39699593,-0.23370461,-0.20438898,-0.20522876,-0.20485106,-0.2048547,-0.20675139
-0.24799627,-0.3109426,-0.23374148,-0.19955117,-0.20014192,-0.20036961,-0.19983372,-0.20304768
-0.29185957,-0.24774396,-0.2336799,-0.19973165,-0.20063205,-0.20163043,-0.20078951,-0.19699304
-0.27602297,-0.21645461,-0.23360108,-0.20170246,-0.2023409,-0.204061,-0.20244636,-0.2065757
-0.22541568,-0.25819924,-0.23376928,-0.20961437,-0.20879894,-0.20796202,-0.20873755,-0.2134323
-0.18464735,-0.2614046,-0.23382129,-0.19997731,-0.19986324,-0.20080979,-0.19956933,-0.19847502
-0.14619243,-0.2304407,-0.23421468,-0.202417,-0.20263934,-0.20384978,-0.20265478,-0.19541745
-0.25382155,-0.23576841,-0.23417594,-0.20771624,-0.20773137,-0.2061763,-0.20737779,-0.19827135
-0.40983504,-0.27848122,-0.23426914,-0.20115152,-0.20174292,-0.2026821,-0.2018272,-0.1949619
-0.42419466,-0.24362846,-0.23432858,-0.2054075,-0.20453127,-0.20450456,-0.2046842,-0.20307888
-0.45574057,-0.23695982,-0.23432575,-0.21474624,-0.21456227,-0.21295828,-0.21440552,-0.2167701
-0.35515374,-0.22150365,-0.23425505,-0.21449412,-0.21432509,-0.21421984,-0.21416353,-0.21868715
-0.28749096,-0.22361174,-0.23424336,-0.2136494,-0.21438934,-0.21379748,-0.21432254,-0.21170202
-0.14808488,-0.26843926,-0.23432125,-0.20447867,-0.20474213,-0.20494744,-0.20503858,-0.20058596
-0.13181357,-0.26929584,-0.23424776,-0.21523948,-0.2154022,-0.21480453,-0.21576501,-0.21456185
-0.26678234,-0.2552959,-0.23430534,-0.22721304,-0.2258255,-0.22417437,-0.22576839,-0.23581783
-0.33527237,-0.25282028,-0.23423398,-0.23193824,-0.23103951,-0.2301733,-0.23057926,-0.24330771
-0.30223924,-0.19687176,-0.23403803,-0.23145789,-0.23180127,-0.23110321,-0.23147105,-0.22420816
-0.32337075,-0.14385378,-0.2339388,-0.24118194,-0.24218717,-0.24196294,-0.24223995,-0.22706492
-0.29697606,-0.16345395,-0.23391977,-0.2493052,-0.24877106,-0.24842624,-0.24915025,-0.22780846
-0.18002765,-0.18131967,-0.2339087,-0.23429215,-0.23413059,-0.23176704,-0.23393913,-0.21279249
-0.15499404,-0.1785876,-0.23403828,-0.22895856,-0.22795925,-0.22705504,-0.22810064,-0.21598053
-0.09247036,-0.2664576,-0.23392037,-0.2134898,-0.21289454,-0.21188274,-0.21260999,-0.21553004
-0.17994714,-0.2360459,-0.23390138,-0.2052548,-0.20512244,-0.20490518,-0.20502874,-0.20972863
-0.21042636,-0.2514692,-0.23383357,-0.20394571,-0.20393819,-0.20395663,-0.20394625,-0.20009273
-0.26815897,-0.2592685,-0.23393372,-0.2051499,-0.20534827,-0.2056013,-0.20527844,-0.21588673
-0.26949614,-0.2167606,-0.23403834,-0.20805319,-0.20870619,-0.20954543,-0.20852599,-0.2342641
-0.23635203,-0.21505801,-0.23416422,-0.2063395,-0.20673348,-0.20727777,-0.20664191,-0.22362632
-0.19873987,-0.21714807,-0.23407556,-0.20004068,-0.19935559,-0.198363,-0.19951867,-0.20716456
-0.14665678,-0.20576538,-0.23414817,-0.20360523,-0.20357363,-0.20349464,-0.20358542,-0.21121833
-0.16642435,-0.2347585,-0.234064,-0.20375921,-0.20377776,-0.20383377,-0.20378119,-0.19313595
-0.2024801,-0.22698656,-0.23414432,-0.20051101,-0.19981451,-0.19823162,-0.19984706,-0.18247575
-0.19804487,-0.22600916,-0.23412539,-0.20718303,-0.20813955,-0.20944844,-0.20802732,-0.19814594
-0.24635315,-0.24334812,-0.234173,-0.20396788,-0.20395818,-0.20398489,-0.20397346,-0.196242
-0.2619807,-0.2269146,-0.23418646,-0.20398091,-0.20397222,-0.20397748,-0.20398414,-0.19342873
-0.23123029,-0.22656198,-0.2341475,-0.20397286,-0.20396148,-0.2039519,-0.20396875,-0.2024804
-0.2311881,-0.22651483,-0.23412582,-0.20577246,-0.20628305,-0.2062073,-0.20613167,-0.21084557
-0.23138075,-0.2276216,-0.23406549,-0.20418586,-0.20417634,-0.20415622,-0.2041932,-0.2078476
-0.23201273,-0.22768186,-0.23402376,-0.20407754,-0.20406406,-0.20403315,-0.20407724,-0.20421264
-0.23166743,-0.2345772,-0.23397444,-0.20416825,-0.20413704,-0.20410198,-0.20414548,-0.20401238
-0.24756342,-0.27227384,-0.23395455,-0.20505114,-0.20460281,-0.2040337,-0.20456612,-0.21485826
-0.26137125,-0.30919135,-0.23402908,-0.2042895,-0.20413071,-0.20407423,-0.2041068,-0.21494359
-0.2542883,-0.247319,-0.23406583,-0.20472883,-0.2046796,-0.20451671,-0.20438617,-0.20845838
-0.22170411,-0.16005571,-0.23403972,-0.20938979,-0.20985189,-0.20974043,-0.20920911,-0.19793165
-0.20795275,-0.1864738,-0.23531072,-0.21535623,-0.21627359,-0.216377,-0.21574056,-0.22536774
-0.24518824,-0.27008027,-0.23535596,-0.20960313,-0.2105888,-0.21140079,-0.21069539,-0.2225547
-0.31842878,-0.3556345,-0.23536117,-0.19947287,-0.19826972,-0.19876806,-0.19929162,-0.226467
-0.4105991,-0.5454189,-0.24404174,-0.21496789,-0.21322177,-0.2123808,-0.21205436,-0.22684571
-0.3467155,-0.44591725,-0.24210961,-0.2378757,-0.2356444,-0.23396263,-0.23291403,-0.2416023
-0.25669053,-0.3687508,-0.24011002,-0.25240067,-0.25425705,-0.25365806,-0.25038457,-0.26662207
-0.39540115,-0.60611767,-0.25218534,-0.2631536,-0.26745775,-0.27174363,-0.2658983,-0.26662052
-0.5749429,-0.8020797,-0.24541035,-0.25945818,-0.2620376,-0.26551187,-0.26209238,-0.27730408
-0.5062149,-0.652197,-0.25065637,-0.24228022,-0.24306053,-0.24417332,-0.24446365,-0.2803555
-0.3668702,-0.5369162,-0.25283402,-0.22779846,-0.23192692,-0.23642164,-0.23500949,-0.25972682
-0.38619378,-0.64185536,-0.2523734,-0.23734105,-0.23652753,-0.23535562,-0.23612584,-0.25905633
-0.4791904,-0.781151,-0.25377336,-0.22264753,-0.22321211,-0.22616693,-0.22347417,-0.24162194
-0.6354173,-0.97212434,-0.26245424,-0.21423714,-0.21527433,-0.21577817,-0.21643208,-0.24930643
-0.5638145,-0.75059426,-0.27319753,-0.22399631,-0.22499065,-0.22447243,-0.22467528,-0.24448144
-0.51180965,-0.63069206,-0.2734842,-0.21683237,-0.21781458,-0.21824004,-0.21749409,-0.22009555
-0.58264726,-0.8117682,-0.29396078,-0.21015818,-0.20940328,-0.21063799,-0.2087163,-0.22987925
-0.5002159,-0.77300483,-0.29270846,-0.2229018,-0.2211597,-0.22288871,-0.22045028,-0.24207117
-0.47334683,-0.8300465,-0.2980871,-0.2677304,-0.26564103,-0.2666939,-0.2644891,-0.26814464
-0.55183345,-1.0208143,-0.340884,-0.30525896,-0.3046851,-0.30754954,-0.30424395,-0.30815998
-0.6679326,-1.0798366,-0.34519976,-0.30760142,-0.3071707,-0.31115374,-0.30651653,-0.30476332
-0.7816338,-1.1592398,-0.34435672,-0.31546092,-0.31392086,-0.317914,-0.31348088,-0.3222705
-0.8369505,-1.2801043,-0.40454265,-0.3978328,-0.39753956,-0.3993486,-0.3973064,-0.4159153
-0.6924858,-1.1420779,-0.4088148,-0.4105571,-0.4114375,-0.4138152,-0.41128194,-0.44205436
-0.57684773,-1.0325208,-0.40381038,-0.40335965,-0.40288758,-0.40652713,-0.40311384,-0.44590247
-0.7525253,-1.3740052,-0.4800005,-0.4856636,-0.48494983,-0.48780602,-0.4838323,-0.52908224
-0.83610934,-1.4524981,-0.4882316,-0.497846,-0.49769986,-0.4992901,-0.49610776,-0.5366044
-0.84963995,-1.4017886,-0.4873485,-0.5006489,-0.50077343,-0.5040712,-0.50064015,-0.53193295
-0.8875108,-1.5070895,-0.5788696,-0.60354906,-0.6035451,-0.6092969,-0.6033826,-0.64575
-0.8222923,-1.4508768,-0.57621354,-0.5983913,-0.5983602,-0.6051413,-0.59851533,-0.6470132
-0.86505014,-1.5358752,-0.5836467,-0.60905707,-0.60833573,-0.6132826,-0.6085137,-0.66557527
-0.9853915,-1.7228649,-0.7192608,-0.79424834,-0.7942633,-0.79895145,-0.7943533,-0.87497413
-0.842172,-1.5019128,-0.711363,-0.7803137,-0.78044045,-0.78703886,-0.7804356,-0.8595445
-0.81102157,-1.462288,-0.7085751,-0.755936,-0.756155,-0.76635164,-0.7563466,-0.83419657
-1.015208,-1.7427503,-0.8991759,-0.94313055,-0.9438147,-0.95566773,-0.9437831,-1.0216547
-1.0273559,-1.6917703,-0.9026234,-0.9814962,-0.98214924,-0.99026364,-0.9818284,-1.0593592
-0.9373155,-1.4931599,-0.9010378,-0.9874929,-0.9868506,-0.9937141,-0.98688924,-1.070812
-1.102924,-1.7492123,-1.1534096,-1.2415576,-1.2419983,-1.2517036,-1.2424679,-1.3541417
-1.0572238,-1.6697904,-1.155694,-1.2302442,-1.2318314,-1.245395,-1.232296,-1.3491081
-0.9437133,-1.4942651,-1.1559695,-1.2230839,-1.2255338,-1.240369,-1.2255533,-1.3392667
-1.1019155,-1.6551837,-1.4912744,-1.5950503,-1.598159,-1.6148056,-1.5976315,-1.7160761
-1.1498711,-1.6704636,-1.4815713,-1.5907269,-1.5938884,-1.6094576,-1.5940069,-1.7064053
