,date,IVV,SPY,VOO,VTI,USDT-USD,ETH,BTC,QQQ
95,2018-03-29,246.6573638916016,245.74632263183597,225.63327026367188,126.82282257080078,0.9986230134963988,385.0,7080.40276816,155.90818786621094
96,2018-04-02,240.9317626953125,240.44195556640625,220.41372680664065,123.93535614013672,1.0001300573349,383.54566668,7058.89414772,151.4099578857422
97,2018-04-03,244.0641021728516,243.5237274169922,223.2098693847656,125.47721099853516,1.0003700256347656,415.02,7412.27033867,153.1138458251953
98,2018-04-04,246.8990173339844,246.1292266845703,225.78240966796875,126.88819885253906,1.000830054283142,378.4002101,6769.9450882,155.52845764160156
99,2018-04-05,248.6186370849609,248.0716094970703,227.4134979248047,127.77593994140624,1.0025299787521362,381.49999999,6774.99999999,156.41445922851562
100,2018-04-06,243.12533569335935,242.5431671142578,222.4083404541016,125.0940399169922,1.0010900497436523,369.0,6613.54563751,152.5004425048828
101,2018-04-09,244.17567443847656,243.73849487304688,223.3124542236328,125.51458740234376,0.9975550174713136,398.0,6761.53778457,153.57142639160156
102,2018-04-10,248.1446228027344,247.614013671875,226.99407958984372,127.5516586303711,0.9973559975624084,414.00295235,6834.0,156.959716796875
103,2018-04-11,246.79681396484372,246.31597900390625,225.79173278808597,126.96295166015624,1.000249981880188,430.0,6966.46006249,156.05422973632812
104,2018-04-12,248.90673828125,248.3424224853516,227.68380737304688,127.99083709716795,0.9968309998512268,494.9999999,7929.99999855,157.93333435058594
105,2018-04-13,248.1446228027344,247.614013671875,227.04998779296875,127.62639617919922,0.998894989490509,494.16920396,7875.0,157.11546325683594
106,2018-04-16,250.20797729492188,249.6498870849609,228.89547729492188,128.69166564941406,0.9975919723510742,511.78437743,8060.0,158.31304931640625
107,2018-04-17,252.88491821289065,252.3207092285156,231.3560943603516,130.04664611816406,0.9985560178756714,502.99999999,7891.1,161.72079467773438
108,2018-04-18,252.9964599609375,252.50747680664065,231.4866180419922,130.22415161132812,0.99760901927948,524.60546611,8164.19061751,162.0518341064453
109,2018-04-19,251.63011169433597,251.1067352294922,230.2190093994141,129.51400756835938,0.997184991836548,568.43868504,8286.99999791,160.56216430664062
110,2018-04-20,249.51092529296875,248.97747802734372,228.35484313964844,128.48611450195312,0.998337984085083,617.00058915,8860.0,158.02096557617188
111,2018-04-23,249.51092529296875,248.9401397705078,228.25238037109372,128.4393768310547,0.997847020626068,643.79255619,8934.97778259,157.6217498779297
112,2018-04-24,246.21124267578125,245.58758544921875,225.1392974853516,126.8975601196289,1.0047600269317627,705.26975565,9633.63095161,154.28221130371094
113,2018-04-25,246.7038116455078,246.1945953369141,225.71714782714844,127.03771209716795,0.9918090105056764,617.0,8860.0240739,154.46717834472656
114,2018-04-26,249.2413330078125,248.6973114013672,228.0380096435547,128.24313354492188,0.9996140003204346,663.69,9286.0,157.71914672851562
115,2018-04-27,249.46437072753903,248.9307556152344,228.2803192138672,128.32723999023438,1.0041500329971311,641.24308197,8920.01000009,157.81649780273438
116,2018-04-30,247.5310821533203,247.01634216308597,226.4161834716797,127.39282989501952,0.9989190101623536,671.88495306,9218.79293079,156.69680786132812
117,2018-05-01,248.0144195556641,247.455322265625,226.9008636474609,127.5890121459961,1.003489971160889,672.51764557,9070.97331262,158.48826599121094
118,2018-05-02,246.28561401367188,245.79296875,225.3536376953125,126.85082244873048,0.9974640011787416,686.15530046,9245.0,157.55360412597656
119,2018-05-03,245.7557678222656,245.2513732910156,224.82237243652344,126.50505065917967,0.9979730248451232,780.83585889,9746.08286219,157.53414916992188
120,2018-05-04,248.93463134765625,248.42649841308597,227.8049774169922,128.1403350830078,0.9985610246658324,786.709,9719.99999895,160.523193359375
121,2018-05-07,249.8362274169922,249.26698303222656,228.5133209228516,128.70101928710938,0.9972370266914368,753.53016125,9390.0,161.8571014404297
122,2018-05-08,249.73394775390625,249.26698303222656,228.50401306152344,128.7477264404297,1.002120018005371,747.01750003,9201.0,161.6915740966797
123,2018-05-09,252.2993621826172,251.6763610839844,230.72232055664065,129.96250915527344,1.0005099773406982,749.80731447,9300.40000001,163.45387268066406
124,2018-05-10,254.5858612060547,254.02964782714844,232.88470458984372,131.0932159423828,1.0013400316238403,722.57710003,9020.0,165.14794921875
125,2018-05-11,255.1156768798828,254.8047637939453,233.45327758789065,131.35482788085938,1.0022499561309814,674.71437133,8385.23146603,164.9921875
126,2018-05-14,255.4410095214844,254.92623901367188,233.71421813964844,131.42022705078125,1.001270055770874,729.92656326,8671.0,165.27456665039062
127,2018-05-15,253.57276916503903,253.1705474853516,232.111083984375,130.62596130371094,1.001139998435974,705.00992689,8449.74000183,163.444091796875
128,2018-05-16,254.7718505859375,254.235107421875,233.0990753173828,131.26141357421875,0.9999499917030334,705.9947,8336.80381573,164.5248565673828
129,2018-05-17,254.56732177734372,254.02035522460935,232.9033203125,131.29876708984375,1.000190019607544,667.201,8050.0,163.89198303222656
130,2018-05-18,253.9445343017578,253.38531494140625,232.3254547119141,131.00914001464844,1.001109957695007,693.8403,8240.0,163.044921875
131,2018-05-21,255.80355834960935,255.2904052734375,234.03111267089844,131.9902801513672,1.0029699802398682,696.204,8381.24277848,163.96017456054688
132,2018-05-22,255.1156768798828,254.58062744140625,233.3600311279297,131.50437927246094,1.0029699802398682,641.04560001,7985.23121618,163.7459259033203
133,2018-05-23,255.8406524658203,255.28103637695312,234.0870513916016,131.85012817382812,1.0040199756622314,576.3817,7508.99999979,165.1284942626953
134,2018-05-24,255.3759307861328,254.7581024169922,233.6396484375,131.63516235351562,0.9988179802894592,602.46188045,7575.00000126,165.079833984375
135,2018-05-25,254.6602935791016,254.15109252929688,233.05242919921875,131.3828582763672,1.000440001487732,585.0,7450.00000188,165.24534606933594
136,2018-05-29,251.8253326416016,251.2280731201172,230.3588104248047,130.083984375,1.0006799697875977,564.73461655,7456.49341186,164.51510620117188
137,2018-05-30,255.19009399414065,254.58062744140625,233.39735412597656,131.7659912109375,0.9997270107269288,557.32244795,7381.00000001,165.69320678710938
138,2018-05-31,253.49842834472656,253.0210723876953,231.8873748779297,130.8595733642578,0.9980030059814452,577.996,7489.99999999,165.5861358642578
139,2018-06-01,256.1009521484375,255.5051727294922,234.32940673828125,132.22389221191406,1.0009900331497192,578.58395293,7529.99999984,168.1857147216797
140,2018-06-04,257.2906799316406,256.7192077636719,235.36399841308597,132.84060668945312,1.0005199909210205,591.4,7487.93552169,169.70462036132812
141,2018-06-05,257.5230407714844,256.906005859375,235.690185546875,133.03680419921875,1.0010199546813965,608.76016946,7622.73002569,170.23033142089844
142,2018-06-06,259.7352600097656,259.0538635253906,237.57293701171875,134.2142333984375,1.00068998336792,605.90711108,7650.00000217,171.2234649658203
143,2018-06-07,259.5679626464844,259.0258178710937,237.46115112304688,134.0179901123047,0.9987499713897704,605.56,7694.09351679,169.83114624023438
144,2018-06-08,260.29296875,259.7915954589844,238.206787109375,134.4758758544922,1.0017900466918943,599.23520404,7610.62165072,169.8408660888672
145,2018-06-11,260.729736328125,260.1371154785156,238.5143585205078,134.67213439941406,1.0019299983978271,531.1430462,6874.596078,170.29847717285156
146,2018-06-12,261.0830078125,260.47332763671875,238.91510009765625,134.9524383544922,1.0007699728012085,495.59061431,6540.00000001,171.19424438476562
147,2018-06-13,260.181396484375,259.6422119140625,237.9644012451172,134.44786071777344,1.0035300254821775,476.13699699,6292.30084274,171.1844940185547
148,2018-06-14,260.9156494140625,260.2959289550781,238.65414428710935,134.8309783935547,1.0039499998092651,518.62847981,6626.9286401,172.9175567626953
149,2018-06-15,260.5438537597656,259.9638061523437,238.44911193847656,134.7001495361328,1.0069500207901,486.68238672,6376.15122659,172.3139190673828
150,2018-06-18,259.9768371582031,259.4291687011719,237.8805389404297,134.55064392089844,1.0028300285339355,518.79953208,6714.48541476,172.2144012451172
151,2018-06-19,259.0195617675781,258.4347839355469,236.97642517089844,134.10211181640625,1.0002199411392212,537.60503263,6746.0,171.72650146484375
152,2018-06-20,259.55865478515625,258.8757019042969,237.40516662597656,134.41046142578125,0.9988290071487428,535.45570108,6753.0,172.94618225097656
153,2018-06-21,257.7648010253906,257.2528686523437,235.92323303222656,133.48538208007812,1.0005300045013428,526.05,6712.63276587,171.4435577392578
154,2018-06-22,258.2945861816406,257.7218322753906,236.34263610839844,133.67587280273438,1.003000020980835,461.1,6041.6665,171.06304931640625
155,2018-06-25,254.7718505859375,254.21356201171875,233.07110595703125,131.79904174804688,1.0006200075149536,459.23391195,6240.00000166,167.2089385986328
156,2018-06-26,255.37969970703125,254.77639770507807,233.58372497558597,132.09934997558594,1.0005600452423096,430.69917349,6078.39999986,167.89198303222656
157,2018-06-27,253.1851959228516,252.66574096679688,231.64505004882807,130.87005615234375,0.9979349970817566,441.72082612,6137.87057885,165.6087646484375
158,2018-06-28,254.7727203369141,254.11038208007807,233.05621337890625,131.6864471435547,0.9971929788589478,421.1542501,5872.99999926,167.03330993652344
159,2018-06-29,254.9875030517578,254.4762420654297,233.6461639404297,131.78028869628906,1.0033299922943115,433.85029654,6197.50000071,167.4821319580078
160,2018-07-02,255.70664978027344,255.0202789306641,233.9177703857422,132.09934997558594,0.9988589882850648,475.70790574,6614.23108202,168.60423278808594
161,2018-07-03,254.6886749267578,254.1197509765625,232.97195434570312,131.76153564453125,1.0003199577331543,462.30979056,6497.65940927,166.65280151367188
162,2018-07-05,256.8739318847656,256.1928405761719,234.96653747558597,132.87823486328125,1.0061399936676023,467.26079561,6532.21538558,168.72129821777344
163,2018-07-06,258.872314453125,258.3597717285156,236.92364501953125,133.9949188232422,1.003159999847412,469.35239547,6605.0,171.34603881835938
164,2018-07-09,261.3003234863281,260.6861572265625,239.02122497558597,135.21485900878906,1.0075000524520874,470.8942309,6654.50000001,172.8876190185547
165,2018-07-10,262.2528381347656,261.62420654296875,239.8546295166016,135.56207275390625,1.0011999607086182,432.91770333,6298.0,173.0144805908203
166,2018-07-11,260.30108642578125,259.71051025390625,238.2158966064453,134.59552001953125,1.0011600255966189,445.238,6374.00000397,172.13632202148438
167,2018-07-12,262.5423583984375,262.0650634765625,240.25732421875,135.7028045654297,0.9990699887275696,430.9,6245.0,175.10252380371094
168,2018-07-13,262.8132019042969,262.2714538574219,240.4633331298828,135.7872772216797,1.001420021057129,431.98555086,6218.64153614,175.24888610839844
169,2018-07-16,262.7197570800781,262.03692626953125,240.31349182128903,135.57147216796875,0.9991390109062196,478.24070459,6735.0,174.82928466796875
170,2018-07-17,263.7842712402344,263.0969543457031,241.34356689453125,136.19078063964844,1.0001300573349,498.72794789,7320.51202306,175.89285278320312
171,2018-07-18,264.3633117675781,263.6504211425781,241.78370666503903,136.49107360839844,1.002210021018982,478.86316408,7372.78,175.56109619140625
172,2018-07-19,263.2707824707031,262.6560974121094,240.86599731445312,136.16265869140625,0.998088002204895,469.04194638,7475.18836125,174.6829833984375
173,2018-07-20,262.9906005859375,262.3558959960937,240.6412353515625,135.9186553955078,1.0010299682617188,448.83368031,7340.57785179,174.64390563964844
174,2018-07-23,263.4761962890625,262.84375,241.10006713867188,136.13450622558594,0.9974960088729858,450.30996806,7720.0,175.20008850097656
175,2018-07-24,264.7929382324219,264.1663818359375,242.23313903808597,136.43478393554688,0.9965050220489502,479.99999999,8410.0,175.922119140625
176,2018-07-25,267.2489318847656,266.41766357421875,244.4524383544922,137.59840393066406,0.998790979385376,471.99999999,8173.03501117,178.38096618652344
177,2018-07-26,266.324462890625,265.7892150878906,243.73138427734372,137.37318420410156,0.9979509711265564,462.91930002,7938.00204999,175.67820739746094
178,2018-07-27,264.6154479980469,263.9881591796875,242.14886474609372,136.27528381347656,0.9971179962158204,470.2799,8185.4764035,173.30723571777344
