date,BTC,ETH,USDT-USD,SPY,IVV,VTI,VOO,QQQ
2019-02-19,4000.0,150.0,1.0120929479599,278.5799865722656,280.29998779296875,143.38999938964844,256.0899963378906,172.8000030517578
2019-02-20,3995.0,149.51963984,1.0135279893875122,278.9200134277344,280.6300048828125,143.52999877929688,256.3800048828125,173.0800018310547
2019-02-21,4010.0,149.80000098,1.0117019414901731,278.1000061035156,279.7900085449219,143.13999938964844,255.63999938964844,172.25999450683594
2019-02-22,3985.7095254,148.59244401,1.0097349882125854,279.3599853515625,281.0799865722656,143.83999633789062,256.8099975585937,173.00999450683594
2019-02-25,3870.0,141.39337941,1.0221179723739624,281.3099975585937,283.0599975585937,144.8800048828125,258.6099853515625,174.66000366210938
2019-02-26,3843.79999962,138.40624667,1.0205140113830566,280.29998779296875,282.0199890136719,144.22999572753906,257.6400146484375,174.25
2019-02-27,3838.99999999,140.20969999,1.0220049619674685,279.5899963378906,281.3099975585937,143.97000122070312,257.0199890136719,173.8000030517578
2019-02-28,3898.0,139.9,1.0193829536437988,279.45001220703125,281.17999267578125,143.89999389648438,256.8800048828125,173.80999755859375
2019-03-01,3856.48649999,137.99999983,1.016391038894653,280.8800048828125,282.6199951171875,144.60000610351562,258.2099914550781,174.64999389648438
2019-03-04,3829.06605996,131.06995801,1.0170429944992063,281.8699951171875,283.57000732421875,145.02999877929688,259.1000061035156,175.7899932861328
2019-03-05,3879.87999999,137.77,1.0137560367584229,279.760009765625,281.489990234375,143.89999389648438,257.1700134277344,175.08999633789062
2019-03-06,3902.65759857,140.0,1.017164945602417,279.1600036621094,280.8800048828125,143.5500030517578,256.6199951171875,174.75
2019-03-07,3900.44865145,139.89809,1.0165590047836304,276.989990234375,278.6600036621094,142.25,254.6000061035156,173.17999267578125
2019-03-08,3935.0,139.2395422,1.0163370370864868,274.6499938964844,276.3299865722656,141.02999877929688,252.4499969482422,171.25999450683594
2019-03-11,3933.45000012,136.08624678,1.0131449699401855,278.6199951171875,280.3500061035156,143.11000061035156,256.1199951171875,174.85000610351562
2019-03-12,3900.6,135.23114258,1.0127700567245483,280.07000732421875,281.79998779296875,143.83999633789062,257.4599914550781,176.13999938964844
2019-03-13,3895.26387492,134.12999998,1.0162880420684814,282.3800048828125,284.1300048828125,144.9499969482422,259.5899963378906,177.92999267578125
2019-03-14,3920.00000001,135.30184217,1.016577959060669,281.8399963378906,283.6000061035156,144.63999938964844,259.1199951171875,177.33999633789062
2019-03-15,3938.23369973,137.70770716,1.012645959854126,282.2099914550781,285.2099914550781,145.47999572753906,260.57000732421875,178.8800048828125
2019-03-18,4032.34421406,141.92315396,1.014227032661438,282.6600036621094,285.6700134277344,145.75999450683594,260.989990234375,178.99000549316406
2019-03-19,4038.00435404,139.18584031,1.018779993057251,284.3599853515625,287.3999938964844,146.47000122070312,262.5899963378906,180.0
2019-03-20,4050.0,139.43,1.0159050226211548,283.5,285.3800048828125,145.99000549316406,261.7699890136719,180.8600006103516
2019-03-21,4067.28213403,139.91724003,1.0167640447616575,285.17999267578125,287.07000732421875,146.83999633789062,261.8599853515625,182.8300018310547
2019-03-22,4008.63913928,137.1533537,1.0142979621887207,283.79998779296875,285.7099914550781,146.07000732421875,260.6099853515625,182.2700042724609
2019-03-25,4001.031894,136.7338514,1.0119099617004397,280.19000244140625,282.0799865722656,143.30999755859375,257.2799987792969,178.83999633789062
2019-03-26,3951.29999958,134.75061,1.0103390216827393,282.17999267578125,284.0899963378906,144.3800048828125,259.1199951171875,180.69000244140625
2019-03-27,4046.66717629,140.0,1.0156229734420776,281.760009765625,283.6600036621094,144.14999389648438,258.7300109863281,179.72000122070312
2019-03-28,4041.49,139.70575076,1.0180209875106812,281.2099914550781,283.1000061035156,143.97999572753906,258.2200012207031,178.97999572753906
